;Interpret;Titel;Genre;Jahr;Länge
0001;30 Seconds To Mars;A Beautiful Lie;Other;2007;4:10
0002;30 Seconds To Mars;From Yesterday;-;-;4:08
0003;30 Seconds To Mars;The Kill (Bury Me);Rock;-;3:51
0004;4 Non Blondes;What's Up;-;-;4:52
0005;A-ha;Take On Me [VIDEO];-;-;3:49
0006;A-teens;Mamma Mia;-;-;3:42
0007;Aaliyah;Try Again [VIDEO];-;-;3:58
0008;ABBA;Angeleyes;80s;1979;4:21
0009;ABBA;Bang-a-boomerang [VIDEO];80s;1975;3:02
0010;ABBA;Dancing Queen [VIDEO];-;-;3:52
0011;ABBA;Does Your Mother Know [VIDEO];80s;1979;3:11
0012;ABBA;Gimme! Gimme! Gimme! (a Man After Midnight) [VIDEO];80s;2001;3:30
0013;ABBA;I Have a Dream;Pop;1999;4:44
0014;ABBA;If It Wasn’t for the Nights;80s;1979;5:09
0015;ABBA;Knowing Me, Knowing You [VIDEO];Pop;1999;4:02
0016;ABBA;Lay All Your Love on Me;80s;1980;4:34
0017;ABBA;Money, Money, Money;Disco;2001;3:05
0018;ABBA;One of Us;Classical;1992;3:58
0019;ABBA;Sos [VIDEO];80s;1975;3:18
0020;ABBA;Super Trouper [VIDEO];80s;1980;4:10
0227;Böhse Onkelz;Ganz egal;Rock;-;4:35
0228;Böhse Onkelz;Ich bin in dir;Hard Rock;-;3:51
0229;Böhse Onkelz;Keine Amnestie für MTV;Hard Rock;2002;3:05
0230;Böhse Onkelz;Lied_10;Other;-;5:11
0231;Böhse Onkelz;Mexico;Other;2000;4:20
0232;Böhse Onkelz;Nichts ist für die Ewigkeit;Other;-;5:30
0233;Böhse Onkelz;Nur die Besten Sterben Jung;-;-;3:54
0234;Böhse Onkelz;Schöne neue Welt;Rock;-;3:32
0235;Böhse Onkelz;Stunde Des Siegers;Alternative Rock;2001;4:58
0236;Böhse Onkelz;Terpentin;Other;-;3:56
0237;Böhse Onkelz;Wieder mal 'n Tag verschenkt (live);-;-;4:26
0238;Böhse Onkelz;Wir ham`noch lange nicht genug;Hard Rock;-;4:50
0239;Böhse Onkelz;Wir Sind Immer Für Euch Da;Other;-;3:58
0240;Böhse Onkelz;Zeit zu gehn;Rock;-;3:44
0241;Carl Douglas;Kung Fu Fighting;-;-;3:09
0242;Carly Rae Jepsen;Call Me Maybe [VIDEO];None;2012;3:14
0243;Caroline Fortenbacher;Durch meine Finger rinnt die Zeit;-;-;5:25
0244;Cascada;A Neverending Dream [VIDEO];Other;-;3:11
0245;Cascada;Because the Night [VIDEO];Other;-;2:58
0246;Cascada;Evacuate the Dancefloor;Dance;2009;3:26
0247;Cascada;Truly Madly Deeply [VIDEO];Other;-;2:57
0248;Cassandra Steen Feat. Adel Tawil;Stadt;Pop;2009;3:08
0735;Knorkator;Die Narrenkappe;Industrial;1999;4:10
0736;Knorkator;Du nich [VIDEO];Industrial;2011;4:54
0737;Knorkator;Ferien in Algerien;Industrial;2001;12:31
0738;Knorkator;Ich bin ein ganz besond’rer Mann;Industrial;1999;4:10
0739;Knorkator;Lied vom Pferd;Industrial;2007;2:50
0740;Knorkator;Weg nach unten [VIDEO];Rock;1999;3:07
0741;Knorkator;Wie weit ist es bis zum Horizont [VIDEO];Industrial;2003;4:20
0742;Knorkator;Wir werden alle sterben [VIDEO];Industrial;2005;4:11
0743;Knorkator;www.einliebeslied.com;Industrial;2007;3:12
0744;Kontra K;Farben;Rap;-;3:41
0745;KoЯn;Alone I Break;Rock;2004;0:00
0746;KoЯn;Did My Time;Rock;2003;0:00
1274;Sum 41;Pieces;Pop;2005;3:02
1275;Sum 41;Still Waiting [VIDEO];80s;2002;3:44
1276;Sum 41;Summer;80s;2001;2:49
1277;Sum 41;The Hell Song [VIDEO];80s;2002;3:24
1278;Sunrise Avenue;Choose to Be Me;Rock;2006;4:11
1279;Sunrise Avenue;Diamonds;Rock;2006;3:14
1280;Sunrise Avenue;Fairytale Gone Bad;Pop;2006;3:25
1281;Sunrise Avenue;Forever Yours;Pop;2007;3:23
1282;Sunrise Avenue;Heal Me;Rock;2006;4:22
1283;Sunrise Avenue;Romeo;Rock;2006;4:03
1284;Sunrise Avenue;Wonderland;Rock;2006;5:38
1285;Supertramp;Breakfast in America;-;-;2:39
1286;Supertramp;Dreamer;Other;-;3:33
1287;Supertramp;Logical Song;-;-;3:16
1288;Survivor;Eye of the Tiger;-;-;4:04
1289;Susan Egan;A Change in Me;Genre;-;3:49
1290;Sven Schumacher;Aufstehn, aufeinander zugehn;-;-;3:10
1291;Sylver;Why Worry;-;-;0:00
1292;System Of A Down;Aerials;Metal;-;6:11
1293;System Of A Down;Byob (Uncut);Metal;2005;4:19
1294;System Of A Down;Chop Suey;-;2001;3:31
1295;System Of A Down;Hypnotize;Metal;2005;3:10
1296;System Of A Down;Innervision;Rock;2002;2:35
1528;Zlatko;Ich Vermiss Dich Wie Die Hölle;-;2000;3:04
1529;Zlatko & Jürgen;Großer Bruder;Blues;-;2:04
1530;Zoe Wees;Control;Classical;-;3:52
